	id	age	income	children	gender	region	married	car	savings_acct	current_acct	mortgage	pep	income_znorm	age_bins	income_norm	age_norm	children_norm	FEMALE	MALE	INNER_CITY	RURAL	SUBURBAN	TOWN	MARRIED_NO	MARRIED_YES	CAR_NO	CAR_YES	SAVINGS_NO	SAVINGS_YES	CURRENT_NO	CURRENT_YES	MORTGAGE_NO	MORTGAGE_YES	PEP_NO	PEP_YES	young	mid	old
0	ID12101	48	17546.0	1	FEMALE	INNER_CITY	MARRIED_NO	CAR_NO	SAVINGS_NO	CURRENT_NO	MORTGAGE_NO	PEP_YES	-0.7735226775759966	mid	0.21563448481990038	0.6122448979591837	0.3333333333333333	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0
1	ID12102	40	30085.1	3	MALE	TOWN	MARRIED_YES	CAR_YES	SAVINGS_NO	CURRENT_YES	MORTGAGE_YES	PEP_NO	0.19854064792173193	mid	0.4313947527948036	0.4489795918367347	1.0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0
2	ID12103	51	16575.4	0	FEMALE	INNER_CITY	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.8487660892824264	mid	0.19893337261117403	0.673469387755102	0.0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0
3	ID12104	23	20375.4	3	FEMALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.5541803026716354	young	0.26431996481513065	0.10204081632653061	1.0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0
4	ID12105	57	50576.3	0	FEMALE	RURAL	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_NO	1.7870712454477953	mid	0.7839867891552552	0.7959183673469388	0.0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0
5	ID12106	57	37869.6	2	FEMALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	0.802015136309022	mid	0.5653426283241985	0.7959183673469388	0.6666666666666666	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0
6	ID12107	22	8877.07	0	MALE	RURAL	MARRIED_NO	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	-1.4455604573454397	young	0.06646822409499363	0.08163265306122448	0.0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0
7	ID12108	58	24946.6	0	MALE	TOWN	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.1998091058939389	mid	0.3429765938369007	0.8163265306122449	0.0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0
8	ID12109	37	25304.3	2	FEMALE	SUBURBAN	MARRIED_YES	CAR_YES	SAVINGS_NO	CURRENT_NO	MORTGAGE_NO	PEP_NO	-0.17207928066481257	mid	0.34913153700304683	0.3877551020408163	0.6666666666666666	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0
9	ID12110	54	24212.1	2	MALE	TOWN	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.25674943754278784	mid	0.33033805384379383	0.7346938775510204	0.6666666666666666	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0
10	ID12111	66	59803.9	0	FEMALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	2.502418562429304	old	0.9427660834239999	0.9795918367346939	0.0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1
11	ID12112	52	26658.8	0	FEMALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	-0.06707495225315038	mid	0.3724384157241677	0.6938775510204082	0.0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0
